text,sentiment
I'm really happy with my purchase.,positive
The customer support was unhelpful.,negative
The software is full of bugs.,negative
The food was average.,neutral
The food was average.,neutral
I have no strong feelings about this.,neutral
The event was average.,neutral
I love this product.,positive
The experience was unpleasant.,negative
The food was average.,neutral
I regret buying this.,negative
I'm really happy with my purchase.,positive
The team did an outstanding job.,positive
The weather is perfect today.,positive
The product quality is poor.,negative
The service was neither impressive nor disappointing.,neutral
The food was disappointing.,negative
The presentation was impressive.,positive
The team did an outstanding job.,positive
The experience was neither good nor bad.,neutral
I'm indifferent towards this decision.,neutral
The customer support was excellent.,positive
I regret buying this.,negative
The experience was unpleasant.,negative
The product met my expectations.,neutral
The movie was great!,positive
I'm frustrated with the results.,negative
The weather is perfect today.,positive
The product quality is poor.,negative
The movie was great!,positive
I'm neutral about the new feature.,neutral
I'm disappointed with the service.,negative
I'm indifferent towards this decision.,neutral
The software is full of bugs.,negative
I'm disappointed with the service.,negative
The food was delicious.,positive
The team did an outstanding job.,positive
I'm disappointed with the service.,negative
The experience was neither good nor bad.,neutral
I'm frustrated with the results.,negative
The customer support was unhelpful.,negative
I'm really happy with my purchase.,positive
The team did an outstanding job.,positive
I'm thrilled with the outcome.,positive
The service was exceptional.,positive
The weather is perfect today.,positive
The service was satisfactory.,neutral
I'm frustrated with the results.,negative
The experience was neither good nor bad.,neutral
The movie was great!,positive
I regret buying this.,negative
The experience was unpleasant.,negative
I love this product.,positive
I have no strong feelings about this.,neutral
The customer support was excellent.,positive
I'm indifferent towards this decision.,neutral
The product met my expectations.,neutral
The presentation was impressive.,positive
I have no strong feelings about this.,neutral
I'm neutral about the new feature.,neutral
The movie was okay.,neutral
The service was neither impressive nor disappointing.,neutral
I have no strong feelings about this.,neutral
I'm thrilled with the outcome.,positive
I'm neutral about the new feature.,neutral
I'm really happy with my purchase.,positive
The food was disappointing.,negative
The team did an outstanding job.,positive
The service was neither impressive nor disappointing.,neutral
The service was awful.,negative
The customer support was unhelpful.,negative
The food was disappointing.,negative
I'm disappointed with the service.,negative
I'm indifferent towards this decision.,neutral
I regret buying this.,negative
The customer support was excellent.,positive
The weather is perfect today.,positive
The experience was unpleasant.,negative
The product quality is poor.,negative
The food was disappointing.,negative
The product quality is poor.,negative
The movie was great!,positive
I'm really happy with my purchase.,positive
The product met my expectations.,neutral
I'm thrilled with the outcome.,positive
The experience was neither good nor bad.,neutral
I'm really happy with my purchase.,positive
The presentation was impressive.,positive
The service was awful.,negative
The customer support was excellent.,positive
The food was disappointing.,negative
I'm frustrated with the results.,negative
The team did an outstanding job.,positive
The movie was terrible.,negative
I'm really happy with my purchase.,positive
The weather is perfect today.,positive
I'm really happy with my purchase.,positive
The presentation was impressive.,positive
The presentation was impressive.,positive
The service was exceptional.,positive
I have no strong feelings about this.,neutral
The service was neither impressive nor disappointing.,neutral
The customer support was excellent.,positive
I'm disappointed with the service.,negative
The service was exceptional.,positive
The experience was unpleasant.,negative
The experience was unpleasant.,negative
The software is full of bugs.,negative
The food was delicious.,positive
The product met my expectations.,neutral
The service was awful.,negative
The movie was terrible.,negative
The product quality is poor.,negative
I'm neutral about the new feature.,neutral
The customer support was unhelpful.,negative
The movie was terrible.,negative
The movie was okay.,neutral
The movie was terrible.,negative
I'm really happy with my purchase.,positive
The customer support was unhelpful.,negative
I'm indifferent towards this decision.,neutral
I'm really happy with my purchase.,positive
The experience was neither good nor bad.,neutral
I'm indifferent towards this decision.,neutral
I love this product.,positive
The event was average.,neutral
The software is full of bugs.,negative
The weather is perfect today.,positive
I have no strong feelings about this.,neutral
The experience was neither good nor bad.,neutral
The customer support was unhelpful.,negative
I have no strong feelings about this.,neutral
The service was neither impressive nor disappointing.,neutral
The service was awful.,negative
I'm thrilled with the outcome.,positive
The movie was great!,positive
The service was satisfactory.,neutral
I'm disappointed with the service.,negative
I'm indifferent towards this decision.,neutral
The movie was great!,positive
I'm indifferent towards this decision.,neutral
I'm thrilled with the outcome.,positive
The food was average.,neutral
The service was neither impressive nor disappointing.,neutral
I'm thrilled with the outcome.,positive
The product met my expectations.,neutral
The software is full of bugs.,negative
The product met my expectations.,neutral
I'm disappointed with the service.,negative
I'm indifferent towards this decision.,neutral
The service was exceptional.,positive
The event was average.,neutral
The service was satisfactory.,neutral
The service was satisfactory.,neutral
The service was exceptional.,positive
I love this product.,positive
I'm frustrated with the results.,negative
I'm really happy with my purchase.,positive
I'm thrilled with the outcome.,positive
The food was delicious.,positive
The software is full of bugs.,negative
The movie was terrible.,negative
The presentation was impressive.,positive
The customer support was excellent.,positive
The food was average.,neutral
The movie was okay.,neutral
The customer support was unhelpful.,negative
The movie was great!,positive
The product quality is poor.,negative
The event was average.,neutral
I'm really happy with my purchase.,positive
I'm indifferent towards this decision.,neutral
The movie was okay.,neutral
I love this product.,positive
The software is full of bugs.,negative
The weather is perfect today.,positive
The experience was unpleasant.,negative
The service was exceptional.,positive
I'm neutral about the new feature.,neutral
The product met my expectations.,neutral
The presentation was impressive.,positive
I'm frustrated with the results.,negative
The experience was neither good nor bad.,neutral
I regret buying this.,negative
The product met my expectations.,neutral
The presentation was impressive.,positive
The movie was terrible.,negative
The food was average.,neutral
The food was average.,neutral
The customer support was excellent.,positive
I have no strong feelings about this.,neutral
The weather is perfect today.,positive
The movie was great!,positive
The product quality is poor.,negative
The experience was unpleasant.,negative
The movie was terrible.,negative
The presentation was impressive.,positive
I'm really happy with my purchase.,positive
I love this product.,positive
The experience was neither good nor bad.,neutral
I love this product.,positive
The customer support was unhelpful.,negative
The food was delicious.,positive
I have no strong feelings about this.,neutral
The product quality is poor.,negative
The experience was unpleasant.,negative
The product met my expectations.,neutral
